"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is will get all information of all students","SUCCESS","2024-01-07T12:27:55.285Z[Europe/London]","0.0","0.87"
"First serenity test","Get all students","SUCCESS","2024-01-07T12:27:58.724Z[Europe/London]","0.0","0.39"
"Student CURD test","This will create a new student","SUCCESS","2024-01-07T12:28:00.434Z[Europe/London]","0.0","0.41"
"Student CURD test","Verify if student was created","SUCCESS","2024-01-07T12:28:01.103Z[Europe/London]","0.0","0.39"
"Student CURD test","Update the user and verify the updated information","SUCCESS","2024-01-07T12:28:01.795Z[Europe/London]","0.0","0.57"
"Student CURD test","Delete the student and verify if the student is deleted","SUCCESS","2024-01-07T12:28:02.777Z[Europe/London]","0.0","0.32"
"Student CURD test","Test0001","SUCCESS","2024-01-07T12:28:03.371Z[Europe/London]","0.0","0.3"
"Testing different request on the student application","Check if the student application can be accessed by users","SUCCESS","2024-01-07T12:27:36.929Z[Europe/London]","0.0","11.07"
"Testing different request on the student application","Create a new student & verify if the student is added","SUCCESS","2024-01-07T12:27:51.785Z[Europe/London]","0.0","2.5"
